collective_deg,radial_index,r_over_R,geometric_pitch_deg,alpha_mean_deg,alpha_min_deg,alpha_max_deg,radial_thrust_contribution_N,total_thrust_N,CT_over_sigma,total_torque_Nm,induced_initial_mps,induced_final_mps,BEMT_thrust_N,momentum_thrust_N,closure_residual_N,outer_iterations,exit_reason,diagnostic_converged,flap_converged,flap_exit_reason,has_NaN,has_Inf,has_unexpected_complex,denominator_near_zero,thrust_sign_jump,branch_switch,region_class,production_returned,production_numerical_converged,production_physical_converged,production_success,production_physical_status,production_physical_branch_supported,production_closure_residual_satisfied,production_closure_residual_N,production_error_identifier,production_thrust_N,production_torque_Nm,production_induced_velocity_mps,pitch_025R_deg,pitch_050R_deg,pitch_075R_deg,pitch_090R_deg,alpha_mean_025R_deg,alpha_mean_050R_deg,alpha_mean_075R_deg,alpha_mean_090R_deg
4,11,0.8975,-1.25,-1.25001681714842,-1.25003191053912,-1.25000172375772,-1005.28400815433,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
4,12,0.965833333333333,-1.75,-1.75001562732429,-1.75003072071499,-1.75000053393359,-1625.46626132417,-930.152041758867,-0.00315775793280555,1561.32699901543,16.269694194372,6.20639579558258e-05,-930.152041758867,4.28116618422791e-07,-930.152042186984,18,CONVERGED,1,1,converged,0,0,0,0,0,0,NEGATIVE_THRUST_REGION,1,1,0,0,UNSUPPORTED_NEGATIVE_THRUST_BRANCH,0,0,-930.152042186984,,-930.152041758867,1561.32699901543,6.20639579558258e-05,3.48780487804878,1.65853658536585,-0.170731707317073,-1.26829268292683,3.48774334237646,1.6585063208343,-0.170751855630853,-1.2683094565451
8,1,0.214166666666667,7.75,0.97297413882921,0.260670546094504,1.68633161504454,44.2205288499607,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,2,0.2825,7.25,2.10205999483208,1.3853876300233,2.8195408677615,166.216643744195,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,3,0.350833333333333,6.75,2.6008251685802,1.8820404328417,3.3202646369379,315.958720581434,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,4,0.419166666666667,6.25,2.7754140765408,2.05544781488927,3.49593005710014,480.473414430081,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,5,0.4875,5.75,2.76149569076739,2.04080110286755,3.48266384933049,646.659396466933,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,6,0.555833333333333,5.25,2.62834972298397,1.9071738511675,3.34994146685123,801.04634134393,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,7,0.624166666666667,4.75,2.41502908753141,1.69351813070739,3.13691070792325,929.785983858535,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,8,0.6925,4.25,2.14521685805109,1.42346292070724,2.86730509140716,1018.71333707876,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,9,0.760833333333333,3.75,1.83410764188406,1.11217167787351,2.55634801836724,1053.43740589265,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
8,10,0.829166666666667,3.25,1.49189676756633,0.76982075290264,2.21425220613425,1019.44817868868,8065.59968862417,0.0273817722868468,2304.36485809198,16.269694194372,5.99666419252667,8065.59968862417,3996.70974270835,4068.88994591581,20,COUPLED_MAX_ITER,0,1,converged,0,0,0,0,1,1,NORMAL_POSITIVE_THRUST_REGION,0,0,0,0,NOT_RUN,0,0,NaN,rotor_model_bemt:CoupledSolveNotConverged,NaN,NaN,NaN,7.48780487804878,5.65853658536585,3.82926829268293,2.73170731707317,1.56505574624535,2.73713972105091,1.88342983469103,1.11158931692634
