pointId,modeId,localModeIndex,realPartPerSecond,imagPartRadPerSecond,dampingRatio,frequencyHz,modeName,matchingConfidence
B15_V030,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.983553350987174
B15_V030,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.98607634966437
B15_V030,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.98607634966437
B45_V025,1,1,0,0,-0,0,spiral-like,1
B45_V025,2,2,-1.8846316671546,0,1,0,roll-like,0.739775992236163
B45_V025,3,3,-0.0805374531093127,0.584320883987493,0.136540018138691,0.0929975570384354,dutch-roll-like,0.943236281178217
B45_V025,4,4,-0.0805374531093127,-0.584320883987493,0.136540018138691,0.0929975570384354,dutch-roll-like,0.943236281178217
B45_V025,5,5,-0.0259420781257023,0,1,0,spiral-like,0.928068836236223
B45_V025,6,6,-0.380398421040885,0.698341124943148,0.478353013552001,0.111144441999057,short-period-like,0.856444083772834
B45_V025,7,7,-0.380398421040885,-0.698341124943148,0.478353013552001,0.111144441999057,short-period-like,0.856444083772834
B45_V025,8,8,0.207617820520645,0,-1,0,longitudinal aperiodic,0.918841751561532
B45_V025,9,9,-0.137260723689666,0,1,0,longitudinal aperiodic,0.934637701976829
B45_V025,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.984286564431145
B45_V025,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.984286564431145
B45_V025,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.968541296576385
B45_V025,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.968541296576385
B45_V035,1,1,0,0,-0,0,spiral-like,1
B45_V035,2,2,-2.02076256047343,0,1,0,roll-like,0.92414749190596
B45_V035,3,3,-0.0835719264873782,0.771942446478788,0.107632936369401,0.12285845613955,dutch-roll-like,0.931703156192184
B45_V035,4,4,-0.0835719264873782,-0.771942446478788,0.107632936369401,0.12285845613955,dutch-roll-like,0.931703156192184
B45_V035,6,5,-0.466884312172122,1.09948933963842,0.39085794047273,0.174989163280298,short-period-like,0.844962773780411
B45_V035,7,6,-0.466884312172122,-1.09948933963842,0.39085794047273,0.174989163280298,short-period-like,0.844962773780411
B45_V035,5,7,-0.0727992230424361,0,1,0,spiral-like,0.943510777936446
B45_V035,8,8,0.0399324342593561,0,-1,0,longitudinal aperiodic,0.908089078468439
B45_V035,9,9,-0.0736063817633228,0,1,0,longitudinal aperiodic,0.943230403622692
B45_V035,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.987299626566249
B45_V035,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.987299626566249
B45_V035,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.998046797675173
B45_V035,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.998046797675173
B45_V045,1,1,0,0,-0,0,spiral-like,1
B45_V045,2,2,-2.2336015728564,0,1,0,roll-like,0.899852809468065
B45_V045,3,3,-0.0951384892176099,0.964168848805807,0.0981972013619773,0.153452238262667,dutch-roll-like,0.930606169437239
B45_V045,4,4,-0.0951384892176099,-0.964168848805807,0.0981972013619773,0.153452238262667,dutch-roll-like,0.930606169437239
B45_V045,5,5,-0.0845647571160806,0,1,0,spiral-like,0.980432321734238
B45_V045,6,6,-0.590191996323079,1.5238800721962,0.361155314915163,0.24253304616926,short-period-like,0.872968604186693
B45_V045,7,7,-0.590191996323079,-1.5238800721962,0.361155314915163,0.24253304616926,short-period-like,0.872968604186693
