pointId,betaMDeg,speedMps,perturbationKind,perturbationName,stepLevel,step,stepUnit,coefficientName,dimensionalDerivative,dimensionalUnit,coefficientDerivative,coefficientUnit,plusFxN,plusFyN,plusFzN,plusMxNm,plusMyNm,plusMzNm,minusFxN,minusFyN,minusFzN,minusMxNm,minusMyNm,minusMzNm,relativeStepVariation,valid,status
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,CX_elevator,282.721894109272,N/(rad),0.0641092730406513,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,6.61077778155397e-08,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,CY_elevator,0,N/(rad),0,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,CZ_elevator,-2056.60331848776,N/(rad),-0.466349958840762,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,7.09993780033491e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,Cl_elevator,0,N*m/(rad),0,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,Cm_elevator,-10389.7744906817,N*m/(rad),-1.57063862292996,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,7.06525486236027e-07,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,elevator,3,1e-05,rad,Cn_elevator,0,N*m/(rad),0,1/rad,10133.2584954759,-2.27373675443232e-13,-57960.7914483403,2.91038304567337e-11,-0.103894464543734,3.5811353882309e-12,10133.252841038,-2.27373675443232e-13,-57960.7503162739,2.91038304567337e-11,0.1039010252699,3.5811353882309e-12,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,CX_rudder,0,N/(rad),0,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,CY_rudder,548.8,N/(rad),0.124444444444444,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,CZ_rudder,0,N/(rad),0,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,Cl_rudder,111.863739484913,N*m/(rad),0.00253659273208419,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,1.58660017170334e-13,1,VALID_CENTRAL_DIFFERENCE
