pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,6,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,1.16865983636689e-24,1,1.16865983636689e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,7,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,6.57072143290258e-21,6.57072143290258e-21,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,8,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.82141756207289e-23,1,2.82141756207289e-23,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,9,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,1.81188065546096e-21,1,1.81188065546096e-21,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,1,0,0,0,1,0,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,1,0,0,0,1,0,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,1,0,0,0,0,1,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,1,0,0,0,0,1,0.5,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,HEADING_KINEMATIC_INTEGRATOR,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,9.70000643509022e-25,9.70000643509022e-25,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
