pointId,modelKind,modeIndex,stateIndex,stateName,rightEigenvectorReal,rightEigenvectorImag,leftEigenvectorReal,leftEigenvectorImag,participationRawReal,participationRawImag,participationMagnitude,normalizedMagnitude
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,4,p,-1.98424922048105e-13,6.25998082753321e-13,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,5,q,-0.010315636106111,0.0106234378497052,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,6,r,-2.08649111819851e-14,7.09512411926368e-14,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,7,phi,1.36079393712001e-13,-9.72914411578424e-14,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,8,theta,0.00365664289867812,-0.000577342154024679,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,9,psi,1.50374558066247e-14,-1.12249484238961e-14,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,10,betaSym,0.167253067251383,0.125439800438518,4.40980655110616e-16,3.98597572901167,0.5,-0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,11,betaDiff,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,12,betaSymDot,-0.836265336256822,0,-0.597896359351725,0.797195145802422,0.5,0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,10,13,betaDiffDot,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,1,u,-0.124430726514022,0.384242743550481,-0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,2,v,-2.31787419089339e-13,3.42876226454657e-14,-0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,3,w,0.0173200216056984,0.305439202419258,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,4,p,-1.98424922048105e-13,-6.25998082753321e-13,-0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,5,q,-0.010315636106111,-0.0106234378497052,-0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,6,r,-2.08649111819851e-14,-7.09512411926368e-14,-0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,7,phi,1.36079393712001e-13,9.72914411578424e-14,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,8,theta,0.00365664289867812,0.000577342154024679,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,9,psi,1.50374558066247e-14,1.12249484238961e-14,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,10,betaSym,0.167253067251383,-0.125439800438518,-4.40980655110615e-16,-3.98597572901167,0.5,0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,11,betaDiff,0,0,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,12,betaSymDot,-0.836265336256822,0,-0.597896359351725,-0.797195145802422,0.5,-0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,11,13,betaDiffDot,0,0,-0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,1,u,1.20788581167082e-15,-1.0904790353792e-15,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,2,v,0.815410327646208,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,3,w,-5.79009181218302e-14,-1.33236662916237e-13,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,4,p,-0.356752091834156,-0.0362698081410634,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,5,q,5.67509710909003e-15,-6.84763760302449e-15,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,6,r,0.101333776299412,-0.0780278059438576,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,7,phi,0.0603204844162594,0.0608376678681651,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,8,theta,-2.16133680979808e-15,5.17819905041545e-16,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,9,psi,-0.0324558502058698,0.000411645149211788,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,10,betaSym,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,11,betaDiff,0.044532242919094,-0.0933227118475026,7.90116850662235,-1.58742970264813,0.5,-0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,12,betaSymDot,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,12,13,betaDiffDot,0.0814713310928711,0.405510060917818,1.81834815672185,0.867689335463641,0.5,0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,1,u,1.20788581167082e-15,1.0904790353792e-15,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,2,v,0.815410327646208,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,3,w,-5.79009181218302e-14,1.33236662916237e-13,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,4,p,-0.356752091834156,0.0362698081410634,0,0,-0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,5,q,5.67509710909003e-15,6.84763760302449e-15,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,6,r,0.101333776299412,0.0780278059438576,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,7,phi,0.0603204844162594,-0.0608376678681651,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,8,theta,-2.16133680979808e-15,-5.17819905041545e-16,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,9,psi,-0.0324558502058698,-0.000411645149211788,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,10,betaSym,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,11,betaDiff,0.044532242919094,0.0933227118475026,7.90116850662235,1.58742970264813,0.5,0.666666666666769,0.833333333333415,0.5
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,12,betaSymDot,0,0,0,0,0,0,0,0
B15_V020,THIRTEEN_STATE_ANGLE_COMMAND,13,13,betaDiffDot,0.0814713310928711,-0.405510060917818,1.81834815672185,-0.867689335463642,0.5,-0.666666666666769,0.833333333333415,0.5
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,1,u,0,0,3.04582799345862e-12,-1.34695811406008e-28,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,2,v,0,0,-0.000243761703561166,-3.90793847428589e-18,-0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,3,w,0,0,-1.13656449694196e-11,2.12932962926202e-28,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,4,p,0,0,1.48447127566777,4.88716269425165e-17,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,5,q,0,0,1.29750341095416e-10,-3.73026630720698e-27,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,6,r,0,0,1.43746000126585,6.80034872886041e-17,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,7,phi,0,0,3.16378297127371,1.46870584910058e-17,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,8,theta,0,0,4.70173523831258e-10,-1.33932224274022e-26,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,1,9,psi,1,0,1,0,1,0,1,1
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,1,u,9.15645416177802e-13,0,-4.03181053785591e-15,1.54295339591431e-29,-3.69170883788512e-27,-1.41279820434491e-41,3.69170883788512e-27,3.69170883788512e-27
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,2,v,-0.46101606498571,0,-0.00160635568651302,4.46271459405418e-18,0.00074055577756365,2.05738312130516e-18,0.00074055577756365,0.00074055577756365
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,3,w,-3.43638028253744e-12,0,5.8268289510039e-14,-3.90094452723525e-29,-2.00232001169481e-25,-1.34051288566635e-40,2.00232001169481e-25,2.00232001169481e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,4,p,-0.749277506624477,0,-1.09630830359743,-4.8114635879239e-18,0.82143915221119,-3.60512144037408e-18,0.82143915221119,0.82143915221119
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,5,q,1.702220448964e-13,0,2.15313289455342e-12,2.85485482969607e-28,3.66510684244588e-25,-4.8595922699323e-41,3.66510684244588e-25,3.66510684244588e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,6,r,-0.210032170281895,0,-0.830964237833408,-1.34809919701313e-17,0.174529222298791,-2.83144200103948e-18,0.174529222298791,0.174529222298791
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,7,phi,0.411641535180221,0,0.00799498940507644,1.81040416035514e-18,0.00329106971245527,-7.4523754786525e-19,0.00329106971245527,0.00329106971245527
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,8,theta,-8.41125409469093e-14,0,-4.75037663538506e-12,4.10504893784836e-28,3.99566249257067e-25,3.45286096873837e-41,3.99566249257067e-25,3.99566249257067e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,2,9,psi,0.111736922513765,0,0,0,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,1,u,1.04020050702723e-15,-7.09339774884878e-14,7.90033647330258e-14,2.28763047535004e-13,-1.61448935239937e-26,-5.84198233352224e-27,1.71693431582655e-26,1.63633744798564e-26
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,2,v,0.999394568466151,0,0.504031461178931,-0.0116445830221317,0.503726304638281,0.0116375330243716,0.503860717023496,0.480208329599102
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,3,w,-2.30616751921795e-13,1.13533061352179e-13,-1.41743029813679e-12,-2.02053036744275e-12,9.74861732610299e-26,-6.26893351499801e-25,6.34427953460228e-25,6.04646437971678e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,4,p,-0.00211849526606801,0.013628583746865,-0.479183205710798,9.00725042468155,0.123771214094635,0.0125512289358561,0.124405975685496,0.118566071451236
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,5,q,-5.38678453482741e-15,-3.77451804985104e-15,5.45475832232117e-11,-1.26631924793256e-11,-2.46038629137055e-25,-2.74104726860938e-25,3.68331926820295e-25,3.51041574269312e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,6,r,0.000944936767495954,-0.0179677675002143,-0.40111819184574,-20.5626946610174,0.369086685519472,0.0266376446351787,0.37004668021678,0.352675833175354
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,7,phi,0.00851381461036643,0.00132048975209823,-0.512393194263471,5.89040270765048,0.00341579574761145,-0.0508264065954064,0.0509410568008848,0.0485497657743085
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,8,theta,-4.07377771454309e-15,7.42633946770837e-15,6.01354458550356e-11,1.70736376515061e-11,-1.18183810029625e-25,5.16140439532381e-25,5.29498221218729e-25,5.04642350051044e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,9,psi,-0.0249057109992043,0.00141896300191906,0,0,-0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,1,u,1.04020050702723e-15,7.09339774884878e-14,7.90033647330264e-14,-2.28763047535004e-13,-1.61448935239937e-26,5.84198233352229e-27,1.71693431582655e-26,1.63633744798565e-26
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,2,v,0.999394568466151,0,0.504031461178931,0.0116445830221317,0.503726304638282,-0.0116375330243716,0.503860717023497,0.480208329599102
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,3,w,-2.30616751921795e-13,-1.13533061352179e-13,-1.4174302981368e-12,2.02053036744275e-12,9.74861732610305e-26,6.26893351499802e-25,6.34427953460228e-25,6.04646437971678e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,4,p,-0.00211849526606801,-0.013628583746865,-0.479183205710798,-9.00725042468155,0.123771214094635,-0.0125512289358561,0.124405975685496,0.118566071451235
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,5,q,-5.38678453482741e-15,3.77451804985104e-15,5.45475832232117e-11,1.26631924793256e-11,-2.46038629137055e-25,2.74104726860938e-25,3.68331926820295e-25,3.51041574269312e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,6,r,0.000944936767495954,0.0179677675002143,-0.40111819184574,20.5626946610174,0.369086685519472,-0.0266376446351787,0.37004668021678,0.352675833175354
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,7,phi,0.00851381461036643,-0.00132048975209823,-0.512393194263471,-5.89040270765048,0.00341579574761145,0.0508264065954064,0.0509410568008848,0.0485497657743085
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,8,theta,-4.07377771454309e-15,-7.42633946770837e-15,6.01354458550356e-11,-1.70736376515062e-11,-1.18183810029625e-25,-5.16140439532381e-25,5.29498221218729e-25,5.04642350051044e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,9,psi,-0.0249057109992043,-0.00141896300191906,0,0,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,1,u,-0.26448396274423,0.0783224014440926,-0.0460857741693403,-0.0102425698021994,0.0113867255145758,-0.00631854395532294,0.0130223467800408,0.0128662499184942
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,2,v,-7.34114096147818e-14,-2.1933969395116e-12,2.64721603639044e-14,6.06856973453789e-14,-1.35051181437344e-25,-5.36089329388679e-26,1.45302234320283e-25,1.43560518857148e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,3,w,0.960314556824954,0,0.495613201800824,0.0391884345242678,0.475944572243955,-0.0376332241328359,0.477430094785733,0.471707213905445
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,4,p,-1.35033781058436e-14,9.56739288578275e-14,1.87553042521571e-12,5.5509546074024e-12,5.05755639720946e-25,2.54396003384908e-25,5.66132576034763e-25,5.59346432198248e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,5,q,-0.000931428444946385,0.0316921484002083,0.263080647373417,15.4828019767269,0.490438217099189,0.0227587130863768,0.490965990484859,0.485080856911371
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,6,r,-5.63189088457133e-14,1.48790998308683e-14,5.65961253963241e-12,1.14251303166785e-12,-3.01743637265359e-25,1.48555027266766e-25,3.36329925454692e-25,3.32298390532879e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,7,phi,8.99092041977583e-14,-5.62598578526781e-15,1.05624190515948e-11,4.48812488189149e-12,9.24408564544098e-25,-4.62947755913335e-25,1.0338529000335e-24,1.02146026484093e-24
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,8,theta,0.0247256940483664,-0.00965230842283113,0.489835405719615,-1.04834660509453,0.0222304851422809,0.0211930550017825,0.030713841341808,0.0303456792646894
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,9,psi,3.21838795402741e-14,4.14876582297884e-14,0,0,0,0,0,0
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,1,u,-0.26448396274423,-0.0783224014440926,-0.0460857741693403,0.0102425698021994,0.0113867255145758,0.00631854395532295,0.0130223467800408,0.0128662499184942
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,2,v,-7.34114096147818e-14,2.1933969395116e-12,2.64721603639043e-14,-6.06856973453789e-14,-1.35051181437344e-25,5.36089329388677e-26,1.45302234320283e-25,1.43560518857148e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,3,w,0.960314556824954,0,0.495613201800825,-0.0391884345242678,0.475944572243955,0.0376332241328359,0.477430094785733,0.471707213905445
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,4,p,-1.35033781058436e-14,-9.56739288578275e-14,1.87553042521562e-12,-5.5509546074024e-12,5.05755639720947e-25,-2.543960033849e-25,5.66132576034761e-25,5.59346432198245e-25
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,5,q,-0.000931428444946385,-0.0316921484002083,0.263080647373417,-15.4828019767269,0.490438217099189,-0.0227587130863767,0.490965990484859,0.485080856911371
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,6,r,-5.63189088457133e-14,-1.48790998308683e-14,5.65961253963246e-12,-1.14251303166786e-12,-3.01743637265362e-25,-1.48555027266767e-25,3.36329925454695e-25,3.32298390532882e-25
