alpha_deg,alpha_rad,Re,Mach,flap_deg,CL,CD,Cm,source,source_class,validity
-143.0,-2.4958208303518914,600000.0,0.0,0.0,0.08287525183841976,0.7980653070317668,0.26812581477135805,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-142.0,-2.478367537831948,600000.0,0.0,0.0,0.08712474816158026,0.8348846929682331,0.28187418522864205,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-141.0,-2.4609142453120048,600000.0,0.0,0.0,0.091368203264,0.8716517352806399,0.29560301056,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-140.0,-2.443460952792061,600000.0,0.0,0.0,0.09559356049382717,0.9082619701728395,0.3092732839506173,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-139.0,-2.426007660272118,600000.0,0.0,0.0,0.09978884056809877,0.9446116042045944,0.32284624889679014,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-138.0,-2.4085543677521746,600000.0,0.0,0.0,0.10394219315200004,0.9805979611955202,0.33628356608000015,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-137.0,-2.3911010752322315,600000.0,0.0,0.0,0.1080419484381235,1.0161199291290233,0.3495474802409878,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-136.0,-2.3736477827122884,600000.0,0.0,0.0,0.11207666872572838,1.0510784070562447,0.36260098705382715,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-135.0,-2.356194490192345,600000.0,0.0,0.0,0.1160352,1.0853767519999997,0.375408,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-134.0,-2.3387411976724017,600000.0,0.0,0.0,0.11990672351130864,1.1189212258587178,0.38793351724246916,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-133.0,-2.321287905152458,600000.0,0.0,0.0,0.12368080735446917,1.151621442310384,0.4001437884997532,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-132.0,-2.303834612632515,600000.0,0.0,0.0,0.12734745804800005,1.1833908137164804,0.41200648192000017,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-131.0,-2.2863813201125716,600000.0,0.0,0.0,0.13089717211338267,1.2141469980259234,0.42349085095506156,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-130.0,-2.2689280275926285,600000.0,0.0,0.0,0.134320987654321,1.2438123456790122,0.4345679012345679,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-129.0,-2.251474735072685,600000.0,0.0,0.0,0.137610535936,1.2723143465113598,0.44521055744000004,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
