Re,Mach,flap_deg,alpha_deg,CL,CD,Cm,source
1400000.0,0.0,0,-16.0,-1.3037,0.02561,-0.0711,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-15.0,-1.2151,0.02123,-0.0756,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-14.0,-1.1161,0.01803,-0.0795,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-12.0,-0.966,0.01394,-0.0718,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-11.0,-0.8873,0.01259,-0.0669,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-10.0,-0.8039,0.01161,-0.0621,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-9.0,-0.7116,0.01079,-0.0586,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-8.0,-0.6125,0.01013,-0.0562,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-7.0,-0.5112,0.00956,-0.0542,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-6.0,-0.4071,0.00915,-0.0525,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-5.0,-0.3019,0.0088,-0.0509,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-4.0,-0.1956,0.00852,-0.0495,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-3.0,-0.0882,0.00834,-0.0483,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-2.0,0.0195,0.00824,-0.0472,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-1.0,0.1264,0.00819,-0.0459,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,-0.0,0.2339,0.00809,-0.0448,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,1.0,0.3403,0.00808,-0.0435,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,2.0,0.4449,0.00815,-0.0418,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,3.0,0.5499,0.00828,-0.0403,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,4.0,0.6505,0.00852,-0.038,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,5.0,0.7424,0.00887,-0.034,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,6.0,0.8366,0.00944,-0.0308,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,7.0,0.9274,0.01015,-0.0271,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,8.0,1.0066,0.0112,-0.0213,XFOIL_CLEAN_SURROGATE_GEOMETRY
1400000.0,0.0,0,10.0,1.2,0.01432,-0.0201,XFOIL_CLEAN_SURROGATE_GEOMETRY
