pointId,inputIndex,inputState,component,forceDerivativeDifferenceNorm,momentDerivativeDifferenceNorm,rollAccelerationDerivativeDifference,pitchAccelerationDerivativeDifference,yawAccelerationDerivativeDifference,angularAccelerationDerivativeDifferenceNorm,differenceStep,stencil
B45_V035,3,w,fuselage,0,2.8421709430404e-13,0,-9.59956110448271e-18,0,9.59956110448271e-18,0.05,CENTRAL_DIFFERENCE
B45_V035,3,w,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,3,w,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B45_V035,4,p,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,4,p,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,4,p,wing,5.71730689468711e-10,100.039845541731,0.00557499384449474,0,0.000470351286845305,0.00559479996954236,0.001,CENTRAL_DIFFERENCE
B45_V035,4,p,fuselage,1.77635683940025e-15,7.105427357601e-15,-7.16655556784627e-21,0,-1.59136775433714e-19,1.59298062807265e-19,0.001,CENTRAL_DIFFERENCE
B45_V035,4,p,horizontalTail,5.55111512312578e-17,2.22477863102719e-16,-1.00579949216105e-21,0,-4.98702141114701e-21,5.08743699456516e-21,0.001,CENTRAL_DIFFERENCE
B45_V035,4,p,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,wing,0,3.41356444251469e-10,3.43994667256621e-16,-4.79978055224135e-16,7.63856522081827e-15,7.66135692271886e-15,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,fuselage,0,1.45519152283669e-11,0,4.91497528549515e-16,0,4.91497528549515e-16,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,horizontalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,5,q,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,wing,1.86319642917006e-09,100.039849156022,-0.00557499406547245,4.79978055224135e-16,-0.000470351252362072,0.00559480018683881,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,fuselage,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,horizontalTail,0,2.22044604925031e-16,-1.25095140906536e-20,0,-2.23954861495196e-22,1.25115186354115e-20,0.001,CENTRAL_DIFFERENCE
B45_V035,6,r,verticalTail,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B45_V035,7,phi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,7,phi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,7,phi,wing,1.81898940354586e-08,2.42835191821698e-09,-1.28957410956435e-13,0,-2.13897108337565e-14,1.30719293029524e-13,0.0001,CENTRAL_DIFFERENCE
B45_V035,7,phi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,7,phi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,7,phi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,wing,1.81898940354586e-08,4.41223582363933e-09,-5.97487788034389e-14,0,9.4335416369373e-14,1.11665067725253e-13,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,8,theta,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,rotorLeft,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,rotorRight,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,wing,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,fuselage,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,horizontalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B45_V035,9,psi,verticalTail,0,0,0,0,0,0,0.0001,CENTRAL_DIFFERENCE
B75_V080,1,u,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,1,u,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
