localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,headingIntegrator,stable,analysisStatus,analysisMessage,variant,pointId
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B15_V020
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-2.14675320889654,0,1,2.14675320889654,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0716343221540591,0.762007615699807,0.0935947008232628,0.765367286010433,0.121277278712294,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0716343221540591,-0.762007615699807,0.0935947008232628,0.765367286010433,0.121277278712294,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.457684035152607,1.02246029581208,0.408565085221019,1.12022307267156,0.162729610193695,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.457684035152607,-1.02246029581208,0.408565085221019,1.12022307267156,0.162729610193695,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0492949789000221,0,1,0.0492949789000221,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0.0545373866977327,0,-1,0.0545373866977327,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0713051041443749,0,1,0.0713051041443749,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
