Re,Mach,flap_deg,sweep,alpha_deg,CL,CD,Cm,source,accepted
600000.0,0.1,0.0,positive,13.0,1.0225,0.03678,0.0233,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,14.0,1.0352,0.04414,0.0273,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,15.0,1.0497,0.05195,0.0299,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,16.0,1.0685,0.05991,0.0314,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,17.0,1.0902,0.068,0.0318,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,18.0,1.1065,0.07709,0.0314,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,19.0,1.1145,0.08749,0.0302,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,20.0,1.116,0.09917,0.0278,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,21.0,1.1074,0.11273,0.0238,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,22.0,1.0936,0.12752,0.0183,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,23.0,1.0776,0.14301,0.0113,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,24.0,1.074,0.157,0.0037,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,positive,25.0,1.0705,0.17082,-0.0046,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,0.0,0.0698,0.00983,-0.0147,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-1.0,-0.0265,0.00976,-0.0174,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-2.0,-0.1155,0.00984,-0.0217,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-3.0,-0.2006,0.00994,-0.0269,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-4.0,-0.2758,0.00993,-0.0344,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-5.0,-0.3499,0.00994,-0.0421,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-6.0,-0.4158,0.00996,-0.0514,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-7.0,-0.4873,0.01011,-0.0593,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-8.0,-0.5637,0.01045,-0.0655,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-9.0,-0.6005,0.01242,-0.076,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-10.0,-0.6098,0.01666,-0.0861,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-11.0,-0.6361,0.02123,-0.0915,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-12.0,-0.6759,0.02608,-0.0937,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-13.0,-0.7693,0.03209,-0.0839,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
