timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0.45,32.5081024241641,0.00066408677597782,12.9700921944806,0.000291832194161647,1.26536945548734e-08,1.57519851390292e-05,5.88830238409575e-05,0.379626970339896,4.45014964275517e-06,32.5081027705783,0.000664084963826726,12.9700907574897,0.000291831351287414,-6.34732380465634e-18,1.57519000449832e-05,5.88828456247286e-05,0.37962696762878,4.45012855884656e-06,1,1,NONE
0.46,32.5081024156242,0.000701870101478031,12.9700922316743,0.000297680217319254,1.27408352582089e-08,1.56434825560067e-05,6.18934971387875e-05,0.379626970457424,4.61921617999987e-06,32.5081027705783,0.00070186818764088,12.9700907574897,0.000297679359617035,-6.86018026274131e-18,1.56433968626392e-05,6.18933100745217e-05,0.37962696762878,4.61919416838253e-06,1,1,NONE
0.47,32.5081024071662,0.000740677956027845,12.970092268564,0.000303426268714057,1.28143389856201e-08,1.5514812710563e-05,6.49614623665084e-05,0.379626970575352,4.78700409687928e-06,32.5081027705783,0.000740675937867991,12.9700907574897,0.000303425396549862,-7.39759286352171e-18,1.55147264818682e-05,6.49612663053336e-05,0.37962696762878,4.78698115100363e-06,1,1,NONE
0.48,32.5081023987913,0.000780507834883118,12.9700923051387,0.000309072157421467,1.28743050728628e-08,1.53666537543986e-05,6.80858298491395e-05,0.379626970693558,4.95329994364235e-06,32.5081027705783,0.000780505709777337,12.9700907574897,0.000309071271153364,-7.95990332270921e-18,1.53665670521296e-05,6.80856246460552e-05,0.37962696762878,4.9532760576338e-06,1,1,NONE
0.49,32.5081023905,0.00082135715069817,12.9700923413875,0.000314619654827248,1.29208362747518e-08,1.51996724090358e-05,7.12655304947136e-05,0.379626970811918,5.11789750978586e-06,32.5081027705783,0.000821354916036877,12.9700907574897,0.000314618754805556,-8.54743895646049e-18,1.51995852927535e-05,7.12653160085033e-05,0.37962696762878,5.11787267842224e-06,1,1,NONE
0.5,32.5081023822934,0.000863223234323448,12.9700923772996,0.000320070495399936,1.29540389303192e-08,1.50145241735924e-05,7.44995153760959e-05,0.379626970930316,5.28059770212124e-06,32.5081027705783,0.000863220887510914,12.9700907574897,0.000320069581967332,-9.16051291706502e-18,1.50144367006931e-05,7.44992914692419e-05,0.37962696762878,5.28057192081041e-06,1,1,NONE
0.51,32.508102374172,0.000906103335596714,12.9700924128639,0.000325426377447717,1.29740231088284e-08,1.48118535282431e-05,7.77867553212688e-05,0.379626971048634,5.44120842505441e-06,32.5081027705783,0.000906100874051285,12.9700907574897,0.000325425450939399,-9.79942442538224e-18,1.48117657540232e-05,7.77865218598691e-05,0.37962696762878,5.44118168981279e-06,1,1,NONE
0.52,32.5081023661367,0.000949994624127941,12.9700924480694,0.000330688963860229,1.29809027403059e-08,1.45922941335853e-05,8.11262405119146e-05,0.37962697116676,5.59954446303453e-06,32.5081027705783,0.00094999204528224,12.9700907574897,0.000330688024604089,-1.04644590000875e-17,1.45922061112707e-05,8.11259973656009e-05,0.37962696762878,5.59951677046583e-06,1,1,NONE
0.53,32.508102358188,0.000994894190078041,12.9700924829051,0.000335859882835646,1.29747957451258e-08,1.43564690258716e-05,8.45169800901275e-05,0.379626971284584,5.75542736512636e-06,32.5081027705783,0.000994891491379179,12.9700907574897,0.000335858931152371,-1.11558886837848e-17,1.43563808066637e-05,8.45167271319852e-05,0.37962696762878,5.75539871240088e-06,1,1,NONE
0.54,32.5081023503266,0.00104079904493163,12.97009251736,0.000340940728593109,1.29558241395597e-08,1.41049908082679e-05,8.79580017730943e-05,0.379626971401997,5.90868533166321e-06,32.5081027705783,0.0010407962238414,12.9700907574897,0.00034093976479635,-1.18739722660425e-17,1.41049024413814e-05,8.79577388795839e-05,0.37962696762878,5.9086557164975e-06,1,1,NONE
0.55,32.5081023425529,0.00108770612226392,12.970092551423,0.000345933062071043,1.29241141413082e-08,1.3838461838177e-05,9.14483514755827e-05,0.379626971518896,6.05915310293746e-06,32.5081027705783,0.00108770317625901,12.9700907574897,0.000345932086467544,-1.26189555034083e-17,1.38383733708856e-05,9.14480785264624e-05,0.37962696762878,6.05912252357453e-06,1,1,NONE
0.56,32.5081023348677,0.00113561227850197,12.970092585083,0.000350838411611502,1.28797962572755e-08,1.35574744107446e-05,9.49870929400819e-05,0.379626971635179,6.20667184988739e-06,32.5081027705783,0.00113560920507413,12.9700907574897,0.000350837424501224,-1.33910713364559e-17,1.35573858884162e-05,9.49868098183323e-05,0.37962696762878,6.20664030507726e-06,1,1,NONE
0.57,32.5081023272712,0.00118451429368036,12.9700926183291,0.000355658273630804,1.28230053736001e-08,1.32626109385891e-05,9.85733073744421e-05,0.379626971750747,6.35108906673901e-06,32.5081027705783,0.00118451109033662,12.9700907574897,0.000355657275307092,-1.41905401039186e-17,1.32625224047263e-05,9.85730139661923e-05,0.37962696762878,6.35105655571974e-06,1,1,NONE
0.58,32.5081023197639,0.00123440887219145,12.9700926511501,0.000360394113276926,1.27538808195993e-08,1.29544441278515e-05,0.000102206093096863,0.379626971865503,6.49225846556305e-06,32.5081027705783,0.0012344055364543,12.9700907574897,0.000360393104026575,-1.5017569753959e-17,1.29543556241352e-05,0.000102205789291318,0.37962696762878,6.49222498804214e-06,1,1,NONE
0.59,32.5081023123461,0.00128529264353048,12.9700926835351,0.000365047365073545,1.26725664407352e-08,1.2633537150651e-05,0.000105884565188086,0.379626971979356,6.63003987270777e-06,32.5081027705783,0.00128528917293802,12.9700907574897,0.000365046345176995,-1.58723560526268e-17,1.26334487169742e-05,0.000105884250877454,0.37962696762878,6.63000542884407e-06,1,1,NONE
0.6,32.5081023050182,0.00133716216303537,12.9700927154729,0.000369619433551492,1.25792106486884e-08,1.23004438140049e-05,0.000109607855150638,0.379626972092213,6.76429912706937e-06,32.5081027705783,0.00133715855514153,12.9700907574897,0.000369618403282882,-1.67550827895542e-17,1.23003554884989e-05,0.000109607530230064,0.37962696762878,6.76426371745519e-06,1,1,NONE
