timeSeconds,uNonlinear,vNonlinear,wNonlinear,pNonlinear,qNonlinear,rNonlinear,phiNonlinear,thetaNonlinear,psiNonlinear,uLinear,vLinear,wLinear,pLinear,qLinear,rLinear,phiLinear,thetaLinear,psiLinear,validDomain,physicalConverged,guardReason
0.2,79.203487754961,0.0671996474433233,11.2603821337413,-0.0227135192769893,1.09723895178864e-05,-0.0192218938605058,-0.00138763402065454,0.141221835966917,-0.00105073142662821,79.2035749135788,0.0672037341626221,11.2602717955253,-0.0227153398828524,-2.82684576349707e-17,-0.0192230437930909,-0.0013877512047933,0.141222346794795,-0.00105079943424725,1,1,NONE
0.21,79.2034692389909,0.0800890368144752,11.2604134842535,-0.0245978148019044,1.47325806140746e-05,-0.0208586553580993,-0.00165280491296329,0.141221658148646,-0.00125323263811415,79.2035749135788,0.0800938712022426,11.2602717955253,-0.0245997465805296,-3.34424139163026e-17,-0.0208598791743336,-0.00165294269602756,0.141222346794795,-0.00125331270187112,1,1,NONE
0.22,79.2034466859539,0.0939998475758289,11.2604525226079,-0.0264385843772867,1.91213223865595e-05,-0.0224625978135481,-0.00193890185852504,0.141221436653359,-0.00147209976831114,79.2035749135788,0.0940054871804993,11.2602717955253,-0.0264406194021191,-3.89543646107457e-17,-0.0224638912230999,-0.00193906146787353,0.141222346794795,-0.00147219262897668,1,1,NONE
0.23,79.2034194322866,0.10890742570437,11.2605004195824,-0.028236917406883,2.41581046697228e-05,-0.0240339283381121,-0.00224544856974901,0.141221164811054,-0.00170700236237213,79.2035749135788,0.108913930549225,11.2602717955253,-0.0282390483756613,-4.47818026128703e-17,-0.0240352875385375,-0.00224563116852721,0.141222346794795,-0.00170710872398336,1,1,NONE
0.24,79.2033867914947,0.124787244999395,11.2605583787969,-0.0299938818145722,2.98575148346034e-05,-0.025572856473737,-0.00257197983715402,0.141220835539065,-0.00195761206862141,79.2035749135788,0.124794679004429,11.2602717955253,-0.0299961020126219,-5.09022066243368e-17,-0.0255742781630296,-0.00257218653492478,0.141222346794795,-0.00195773260451368,1,1,NONE
0.25,79.2033480581872,0.141614910011621,11.2606276290924,-0.0317105243808664,3.62294013479806e-05,-0.0270795941919113,-0.00291804131924312,0.14122044135735,-0.00222360266281794,79.2035749135788,0.141623342536158,11.2602717955253,-0.0317128276368559,-5.72930697143367e-17,-0.0270810755807699,-0.00291827318270737,0.141222346794795,-0.00222373802206998,1,1,NONE
0.26,79.203302511942,0.159366158954113,11.2607094173014,-0.0333878710746157,4.32790398958511e-05,-0.0285543558905335,-0.00328318933570385,0.141219974402689,-0.00250465007234448,79.2035749135788,0.159375666454897,11.2602717955253,-0.0333902517087048,-6.39319272704821e-17,-0.0285558947140384,-0.0032834473994473,0.141222346794795,-0.00250480088668513,1,1,NONE
0.27,79.2032494210057,0.178016866594644,11.2608050013986,-0.0350269273798821,5.1007301686533e-05,-0.0299973583888084,-0.00366699066388559,0.14121942644189,-0.00280043240030009,79.2035749135788,0.178027534393014,11.2602717955253,-0.0350293801443233,-7.07963843225415e-17,-0.0299989529172355,-0.00366727594108423,0.141222346794795,-0.00280059929152401,1,1,NONE
0.28,79.2031880458311,0.197543047128974,11.2609156440223,-0.0366286786179629,5.94108235625664e-05,-0.0314088209201979,-0.00406902233850456,0.141218788884111,-0.00311062994947435,79.2035749135788,0.197554971279729,11.2602717955253,-0.0366311986303278,-7.7864142222433e-17,-0.0314104699687275,-0.00406933583152097,0.141222346794795,-0.00311081353741369,1,1,NONE
0.29,79.2031176424541,0.217920857034435,11.2610426063577,-0.0381940902645578,6.84821795644392e-05,-0.0327889651234495,-0.00448887145452752,0.141218052792383,-0.00343492524618216,79.2035749135788,0.217934146288189,11.2602717955253,-0.0381966729338584,-8.51130246648907e-17,-0.0327906680605612,-0.00448921416532939,0.141222346794795,-0.00343512615728021,1,1,NONE
0.3,79.2030374657127,0.239126597903089,11.2611871423729,-0.0397241082620848,7.82100536025462e-05,-0.0341380150317291,-0.00492613497318451,0.141217208894435,-0.00377300306393877,79.2035749135788,0.239141375753236,11.2602717955253,-0.0397267492081439,-9.2521003034229e-17,-0.0341397717861008,-0.00492650791351822,0.141222346794795,-0.00377322194047091,1,1,NONE
0.31,79.2029467723121,0.261136719253668,11.261350493396,-0.0412196593271611,8.85794129073975e-05,-0.035456197059885,-0.00538041953106143,0.14121624759289,-0.0041245504469554,79.2035749135788,0.261153126058496,11.2602717955253,-0.0412223542936567,-1.00066221063623e-16,-0.0354580081256418,-0.00538082373231512,0.141222346794795,-0.00412478795694155,1,1,NONE
0.32,79.2028448237362,0.283927821321414,11.2615338830269,-0.0426816512532749,9.95716819410947e-05,-0.0367437399898718,-0.00585134125222327,0.141215158974932,-0.00448925673343654,79.2035749135788,0.283946016491478,11.2602717955253,-0.0426843960149431,-1.07727018794323e-16,-0.0367456064300545,-0.00585177777491666,0.141222346794795,-0.00448951358128798,1,1,NONE
0.33,79.2027308890112,0.307476657824852,11.2617385123722,-0.0441109732086814,0.000111164916466151,-0.0380008749543638,-0.00633852556331913,0.141213932821494,-0.0048668135786607,79.2035749135788,0.307496822065388,11.2602717955253,-0.0441137634732112,-1.15481955823205e-16,-0.0380027984025122,-0.00633899550616048,0.141222346794795,-0.00486709051660285,1,1,NONE
0.34,79.2026042473216,0.331760138708515,11.2619655555951,-0.0455084960295663,0.000123333977480531,-0.0392278354185885,-0.00684160701162049,0.141212558616057,-0.00525691497782711,79.2035749135788,0.331782476306413,11.2602717955253,-0.0455113273347591,-1.23309833828031e-16,-0.039229818078354,-0.00684211152007504,0.141222346794795,-0.00525721281813813,1,1,NONE
0.35,79.2024641904831,0.356755332860525,11.2622161557712,-0.0468750725085264,0.000136050704740299,-0.0404248571604114,-0.00736022908594478,0.141211025553111,-0.00565925728865164,79.2035749135788,0.356780074005268,11.2602717955253,-0.0468779401153217,-1.31189718360786e-16,-0.040426901803137,-0.00736076936026314,0.141222346794795,-0.00565957691675509,1,1,NONE
