time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
0.625,32.5081027704003,4.98470746335801e-16,12.9700907584302,5.92455919464882e-17,1.12050171682321e-10,-3.64464914117219e-17,-8.31573107594942e-18,0.379626967666802,-1.98654105501843e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-3.66129763025185e-13,-4.37126229986608e-11,-1.40811307762163e-11,0,1,35.0000000001832,0.379626967655621,1.42420213238055e-17
0.65,32.5081027703747,5.38395578603803e-16,12.9700907585022,2.80763161304937e-17,1.15252721394553e-10,-4.48663456502566e-17,-8.01696870048006e-18,0.379626967669644,-2.0967358571278e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.79391186006355e-12,5.8156145962722e-11,7.80229722545456e-12,0,1,35.0000000001861,0.379626967657804,1.53827308171697e-17
0.675,32.5081027703478,5.89438244054413e-16,12.9700907585759,8.97513529495084e-17,1.1834857370103e-10,-3.76109014400097e-17,-6.70714808918036e-18,0.379626967672565,-2.20964688309253e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,1.32728103392253e-12,1.44814370622617e-11,2.23742802741071e-11,0,1,35.0000000001885,0.379626967660043,1.68410926871783e-17
0.7,32.5081027703199,6.50477088984504e-16,12.9700907586511,1.10524083747851e-16,1.2133757618472e-10,-2.87902579904983e-17,-4.51220864331793e-18,0.379626967675562,-2.29353040277101e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-6.78438271063998e-13,-2.91805785382801e-11,-2.12669154269477e-11,0,1,35.0000000001903,0.379626967662335,1.85850596851705e-17
0.725,32.5081027702908,7.08328469768166e-16,12.9700907587277,8.96627659903549e-17,1.24219678045947e-10,-3.49336141383334e-17,-2.61977500384143e-18,0.379626967678632,-2.38803904513256e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-4.34417396164451e-13,-7.77624393027276e-14,-6.65229991870285e-12,0,1,35.0000000001917,0.379626967664677,2.02379562789796e-17
0.75,32.5081027702606,7.65372503475688e-16,12.9700907588057,7.92171769572385e-17,1.26994906109484e-10,-3.70482954066898e-17,-7.48703019608081e-19,0.379626967681773,-2.48708305886057e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.31932897509426e-13,1.01786047692943e-10,5.15951901622897e-11,0,1,35.0000000001926,0.379626967667065,2.18677858134707e-17
0.775,32.5081027702294,8.32522767923221e-16,12.9700907588849,1.30695497275127e-16,1.2966339687509e-10,-2.78796418404521e-17,2.82732793521436e-18,0.379626967684982,-2.54447042453546e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,6.06172988983812e-13,1.26367450252983e-11,6.91421073759142e-13,0,1,35.000000000193,0.379626967669498,2.37863647976752e-17
0.8,32.5081027701972,9.03080955476138e-16,12.9700907589652,1.69176107262303e-16,1.32225374090536e-10,-2.29749074461145e-17,6.042844675255e-18,0.379626967688256,-2.61856244875543e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-2.03325166120545e-12,2.53605826987607e-11,1.34612512001478e-11,0,1,35.0000000001928,0.379626967671971,2.58023130134618e-17
0.825,32.5081027701639,9.73076399168725e-16,12.9700907590466,1.76883439260964e-16,1.34681153059404e-10,-1.88596544292736e-17,1.0534593247389e-17,0.379626967691593,-2.66939833949688e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-9.07633534780764e-13,-1.12654813156223e-13,-6.50944969078509e-12,0,1,35.0000000001921,0.379626967674482,2.78021828332396e-17
0.85,32.5081027701297,1.04393665018718e-15,12.9700907591289,1.97328011343942e-16,1.37031132967446e-10,-1.60121807802509e-17,1.47463371076928e-17,0.37962696769499,-2.72507063516026e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,1.22432277695392e-12,-1.24838095495143e-13,-2.10161180913116e-11,0,1,35.0000000001908,0.379626967677028,2.98267614337568e-17
0.875,32.5081027700945,1.12653446507675e-15,12.970090759212,1.95510958665734e-16,1.39275789838896e-10,-2.3960081099849e-17,1.94523002468567e-17,0.379626967698445,-2.78401034691727e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,9.27052916365558e-13,-1.46812731140888e-11,-1.3654860135822e-11,0,1,35.0000000001889,0.379626967679605,3.21866990020192e-17
0.9,32.5081027700585,1.21189244974032e-15,12.9700907592958,1.74396793780316e-16,1.414156935337e-10,-3.39886337290634e-17,2.37983316932777e-17,0.379626967701954,-2.85928988111624e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,-1.87867886898882e-13,-1.31436541815084e-13,9.83787424173493e-13,0,1,35.0000000001865,0.379626967682212,3.46254985638247e-17
0.925,32.5081027700215,1.29624076385865e-15,12.9700907593803,1.71567726050303e-16,1.43451484288587e-10,-3.5761390141696e-17,2.78199583916516e-17,0.379626967705515,-2.95003806875079e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,5.60807572050974e-13,-1.3720952972163e-13,-6.22268911656473e-12,0,1,35.0000000001835,0.379626967684845,3.70354503957672e-17
0.95,32.5081027699837,1.38499280503788e-15,12.9700907594653,1.81461649151537e-16,1.45383881500665e-10,-3.90460245084195e-17,3.17306787096255e-17,0.379626967709126,-3.05098844272441e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,9.02202990313259e-13,-3.78410907465956e-12,-1.60549926165284e-12,0,1,35.0000000001799,0.379626967687502,3.9571223000879e-17
0.975,32.5081027699451,1.48030487363051e-15,12.9700907595508,1.78501363700671e-16,1.47213683769422e-10,-4.32850500395944e-17,3.58056685692615e-17,0.379626967712785,-3.15742437496789e-17,0.785398163397448,0.785398163397448,0,0,0.785398163397448,0,1.69238276417761e-13,-9.24731930295495e-12,-8.79642185445104e-12,0,1,35.0000000001757,0.379626967690179,4.22944249606595e-17
1,32.5081027699057,1.57662945902992e-15,12.9700907596366,1.75684722387643e-16,0.000110530060348391,-4.41641682415036e-17,3.96451525046999e-17,0.379626967716487,-3.28087427094575e-17,0.785398163397448,0.785398163397448,0.00654498469497874,0.00654498469497874,0.785398163397448,0,9.59935938343595e-13,-1.83483848450413e-11,1.40108757027089e-11,1,1,35.0000000001708,0.379626967692874,4.50465559720636e-17
1.025,32.5080338766853,1.66648821458907e-15,12.9702893703873,1.73458389986442e-16,0.000328050487525091,-3.17750586367554e-17,4.3315046994249e-17,0.379632476675999,-3.38978799885524e-17,0.785725412632197,0.785725412632197,0.0196349540849362,0.0196349540849362,0.785725412632197,0,6.1621232780203e-13,-3.29020455138903e-11,-5.17885529014289e-13,1,1,35.0000096125602,0.3796329676994,4.761393591135e-17
1.05,32.507906530195,1.74349551594223e-15,12.9707878472988,1.2978482074655e-16,0.000538340540754617,-3.02870863250355e-17,4.67497478376945e-17,0.379643351804904,-3.47676887907104e-17,0.786379911101695,0.786379911101695,0.0327249234748937,0.0327249234748937,0.786379911101695,0,3.16094879921878e-13,2.71268361302721e-11,8.62533603585076e-12,1,1,35.0000760621392,0.379647544174052,4.98140493422593e-17
