localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable,pointId,betaMDeg,speedMps
8,long-period-like,-0.0424118788244221,0.0459001313249841,0.678647437354995,0.0624947159451761,0.00730523278893836,23.5782999413874,NaN,16.3432321267694,u,0.486625312374444,0,0,1,1,B45_V045,45,45
9,long-period-like,-0.0424118788244221,-0.0459001313249841,0.678647437354995,0.0624947159451761,0.00730523278893836,23.5782999413874,NaN,16.3432321267694,u,0.486625312374444,0,0,1,1,B45_V045,45,45
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B45_V045,45,45
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B45_V045,45,45
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B45_V045,45,45
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B45_V045,45,45
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B75_V080,75,80
2,dutch-roll-like,-0.545327250073881,1.60140329689517,0.322353151494113,1.69170751874545,0.254871250584525,1.83376128712534,NaN,1.2710664659909,v,0.485207021111694,0,0,1,1,B75_V080,75,80
3,dutch-roll-like,-0.545327250073881,-1.60140329689517,0.322353151494113,1.69170751874545,0.254871250584525,1.83376128712534,NaN,1.2710664659909,v,0.485207021111694,0,0,1,1,B75_V080,75,80
4,roll-like,-1.67586321484035,0,1,1.67586321484035,0,0.596707410929873,NaN,0.413606059505266,p,0.805990426587705,0,0,1,1,B75_V080,75,80
5,spiral-like,-0.0833895826988076,0,1,0.0833895826988076,0,11.9919055550604,NaN,8.31215552503127,phi,0.907464143939766,0,0,1,1,B75_V080,75,80
6,short-period-like,-1.00563442109611,3.05576637333406,0.312601281226699,3.21698752209151,0.486340323250109,0.994397147732901,NaN,0.689263579307912,q,0.498068917474889,0,0,1,1,B75_V080,75,80
7,short-period-like,-1.00563442109611,-3.05576637333406,0.312601281226699,3.21698752209151,0.486340323250109,0.994397147732901,NaN,0.689263579307912,q,0.498068917474889,0,0,1,1,B75_V080,75,80
8,longitudinal aperiodic,-0.272694649420986,0,1,0.272694649420986,0,3.66710532136698,NaN,2.5418437143219,u,0.760484829325441,0,0,1,1,B75_V080,75,80
9,longitudinal aperiodic,-0.077933444245873,0,1,0.077933444245873,0,12.8314616359709,NaN,8.89409145543636,theta,0.698768758219724,0,0,1,1,B75_V080,75,80
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B75_V080,75,80
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B75_V080,75,80
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B75_V080,75,80
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B75_V080,75,80
