time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
1.1,32.5257822781374,-0.51703141872171,12.9984427409173,-0.0580143365633965,-0.00191348462903802,0.0109649087592387,-0.0247933744465328,0.378922237471289,0.00406911459137768,0.802966772667971,0.788670655744938,0.00167241369696383,0.0589048622548086,0.795818714206454,-0.0071480584615165,-1024.52834320111,-505.825238698147,787.050205759535,1,1,35.0307486072115,0.38019172847621,-0.014759895597288
1.125,32.5267258939714,-0.549462439220172,12.9987452079659,-0.0585440759058437,-0.0019139414291835,0.0113835023580389,-0.02614067153619,0.378881574716679,0.00437112483920606,0.803004661599248,0.790306901918682,0.00137543576807283,0.0719948316447661,0.796655781758965,-0.00634887984028282,-1075.9941216559,-254.195278231946,739.733941762623,1,1,35.0322306360198,0.380189749897546,-0.0156851265241998
1.15,32.5276830671914,-0.582555281952148,12.9992250143913,-0.0586928735146914,-0.00192297711300623,0.0117790998498294,-0.0274927217375411,0.378841454292201,0.00468418097705271,0.803035530593504,0.792270397327176,0.00110971475324899,0.0850848010347236,0.79765296396034,-0.00538256663316422,-1127.08868106472,36.033037903725,680.114813939713,1,1,35.0338320392011,0.38019232895235,-0.0166291295502422
1.175,32.5286594862179,-0.616154191046813,12.9999193010217,-0.0584078898872203,-0.00194182463744309,0.0121456562231789,-0.0288395823290964,0.378801655495901,0.00500759060513209,0.803060133659449,0.794561141970418,0.000873076686994983,0.098174770424681,0.798810637814934,-0.00424949584451506,-1177.38315651962,363.147718942436,607.845540546246,1,1,35.035571007057,0.380200389485465,-0.0175874386824173
1.2,32.5296612662452,-0.650079753099536,13.0008661010236,-0.0576386515912234,-0.00197434418668939,0.0124769253853278,-0.0301700805161846,0.378761916946489,0.00534049707615031,0.803079171034539,0.79717913584841,0.00066340100615736,0.110948398887715,0.800129153441475,-0.00295001759306462,-1226.39605722497,725.500659974389,522.705021171654,0,1,35.0374654499835,0.380214874252136,-0.0185549111026373
1.225,32.5306966273579,-0.684129298427277,13.0020997269099,-0.0563377775792143,-0.00203481218105018,0.012766549736383,-0.0314718713147678,0.378721801370914,0.00568187968231956,0.803093290682095,0.800108376473571,0.000478632209909907,0.121840712951746,0.801600833577833,-0.00149245710426199,-1273.61156359932,1119.17069604346,424.862436950065,0,1,35.0395327204384,0.380236604801835,-0.0195257390287356
1.25,32.5317803066568,-0.718078283717044,13.0036352318973,-0.0544673312709749,-0.00213105322794919,0.0130082955158503,-0.0327315502427661,0.378680333842195,0.00603056609393004,0.8031030900491,0.803273494119079,0.000316789194150721,0.129997256265173,0.803188292084089,8.52020349898508e-05,-1318.52476289119,1531.78751448485,315.590574032488,0,1,35.0417878480304,0.380265822844097,-0.0204934905935283
1.275,32.5329254492482,-0.751685524274471,13.0054815346616,-0.0520085897638232,-0.00226053690443143,0.013196447688738,-0.0339350422232911,0.378636610575385,0.00638522148678085,0.803109118029906,0.806610386672569,0.000175972518332457,0.135747610392749,0.804859752351238,0.0017506343213311,-1360.58813285828,1953.25763172215,196.193892551391,0,1,35.0442408872295,0.38030262407472,-0.0214512615249312
1.3,32.5341441954169,-0.784699149865297,13.0076439152733,-0.0489558310837238,-0.00242072533138179,0.0133257874747555,-0.0350680359825421,0.378589776510508,0.00674436385827309,0.803111877087266,0.810062852908225,5.43698436367926e-05,0.139394784162424,0.806587364997745,0.00347548791047969,-1399.23657852389,2375.0826438787,67.9478114122991,0,1,35.0468984577883,0.380347018109528,-0.0223918452769857
1.325,32.5354478492393,-0.81686080481347,13.0101247823421,-0.0453142093769336,-0.00260911435508685,0.0133916080780918,-0.0361162762012924,0.378539024972643,0.00710637693384801,0.80311182548782,0.813581941809405,-4.97402370783206e-05,0.141216350509633,0.808346883648613,0.00523505816079278,-1433.90198342023,2790.19509688489,-67.9225308179361,0,1,35.0497642670693,0.380398947030398,-0.0233078534861679
1.35,32.5368470372194,-0.84790926013474,13.0129242569807,-0.0410978550341995,-0.00282326979941107,0.0133897173500265,-0.0370658053623891,0.378483596821828,0.00746952325119936,0.803109379614515,0.817125331292066,-0.000137985774912563,0.141465649743162,0.81011735545329,0.00700797583877538,-1464.02530108948,3192.80374335948,-210.25356941622,1,1,35.0528395847576,0.380458299185894,-0.0241918195923978
