Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31
0.55,32.5080962280114,7.35471092575142e-16,3.64437539910567e-17,1.36642057773875e-05,-1.80416904576163e-17,2.89076867246772e-17,0.379627506250391,-1.04329820955655e-17,0.785430277455685,0,32.5080962281856,4.30210843502739e-19,-1.67837922043616e-18,1.3664102561784e-05,-1.10222125931002e-18,3.04207566344652e-21,0.379627506220366,5.82204305025145e-23,0.785430277455685,0,-1.74118497398013e-10,7.35040881731639e-16,3.81221332114929e-17,1.03215603473411e-10,-1.69394691983063e-17,2.89046446490137e-17,3.00252045448701e-11,-1.0433040315996e-17,0,0
0.6,32.5080878853557,7.96976251671279e-16,4.92310094504368e-17,1.77273390251596e-05,-1.40995620551536e-17,3.14953262040305e-17,0.379628337157894,-1.11477377873442e-17,0.785482145290022,0,32.5080878869345,4.68640317268983e-18,-1.22249558532889e-17,1.77272165812915e-05,-7.61836101924263e-18,-3.04680633026238e-19,0.379628337122374,-1.66847834879853e-19,0.785482145290022,0,-1.57879753714951e-09,7.92289848498589e-16,6.14559653037257e-17,1.22443868151595e-10,-6.48120103591094e-18,3.18000068370567e-17,3.551969829374e-11,-1.09808899524643e-17,0,0
0.65,32.508080958118,8.41440758387406e-16,-5.44813303316723e-17,1.84099123660402e-05,-3.96201389094708e-17,3.02202289380578e-17,0.379629282717892,-1.28247098210885e-17,0.78554657505642,0,32.5080809653978,1.69648657211461e-17,-3.38222631292002e-17,1.8409744026344e-05,-2.11425125715784e-17,-1.57805483209417e-18,0.379629282675494,-8.50603771826918e-19,0.78554657505642,0,-7.27985849380275e-09,8.2447589266626e-16,-2.06590672024722e-17,1.68339696220469e-10,-1.84776263378924e-17,3.1798283770152e-17,4.23980850428052e-11,-1.19741060492615e-17,0,0
0.7,32.5080782461812,8.87484487197965e-16,-1.30799179054055e-17,1.60560528513135e-05,-2.58813298174939e-17,2.89560262431512e-17,0.379630182255621,-1.44579089243082e-17,0.78561792412389,0,32.5080782677151,4.17855568778336e-17,-6.70693227484682e-17,1.60557880333921e-05,-4.24042253937875e-17,-4.55617181754068e-18,0.379630182203124,-2.459909903082e-18,0.78561792412389,0,-2.15338715747748e-08,8.45698930320132e-16,5.39894048430627e-17,2.64817921328305e-10,1.65228955762936e-17,3.35121980606918e-17,5.24974508309128e-11,-1.19979990212262e-17,-1.11022302462516e-16,0
0.75,32.5080821540982,9.63702429507057e-16,8.97443550965095e-17,1.1013855535254e-05,-1.10706787907099e-17,3.3312323073298e-17,0.379630892587834,-1.48539451578538e-17,0.785691865200205,0,32.5080822031738,8.37011516793021e-17,-1.11434875646575e-16,1.10134160940123e-05,-7.14960801870048e-17,-9.98112195966677e-18,0.379630892518831,-5.42253110611294e-18,0.785691865200205,0,-4.90756306703588e-08,8.80001277827755e-16,2.01179230743084e-16,4.394412416791e-10,6.04254013962949e-17,4.32934450329648e-17,6.90034140937712e-11,-9.43141405174082e-18,-1.11022302462516e-16,0
0.8,32.5080947184004,1.07199119577401e-15,1.09635435443641e-16,3.62452661664673e-06,-1.79865391912362e-17,3.85231769156086e-17,0.379631287901896,-1.56275308424946e-17,0.785765172004738,0,32.5080948127684,1.47086660001415e-16,-1.65677510336025e-16,3.62380789870441e-06,-1.08059443201363e-16,-1.85420754071752e-17,0.379631287805381,-1.01565472223608e-17,0.785765172004738,0,-9.43679481224535e-08,9.24904535772593e-16,2.75312945779665e-16,7.18717942320634e-10,9.00729040101266e-17,5.70652523227838e-17,9.65142410436215e-11,-5.47098362013381e-18,-1.11022302462516e-16,0
0.85,32.5081176389136,1.16830952892209e-15,8.87233310439371e-17,-5.78534167405373e-06,-2.14469039784286e-17,4.14944311493431e-17,0.379631259178815,-1.68297005472816e-17,0.785835526404022,0,32.5081177999641,2.35992085178173e-16,-2.28051661319116e-16,-5.78646594423043e-06,-1.51432612298467e-16,-3.08394815189248e-17,0.379631259037938,-1.70505452434452e-17,0.785835526404022,0,-1.61050515146144e-07,9.3231744374392e-16,3.16774992363053e-16,1.12427017669364e-09,1.29985708320038e-16,7.23339126682679e-17,1.40877032261955e-10,2.20844696163547e-19,-1.11022302462516e-16,0
0.9,32.5081523118855,1.26519183300506e-15,8.03896245000895e-17,-1.69089647639608e-05,-2.96728688476718e-17,4.28516772773626e-17,0.379630713300812,-1.84975746818538e-17,0.785901347669443,0,32.5081525635143,3.54066445146349e-16,-2.96627448728824e-16,-1.69106351771525e-05,-2.00766860465167e-16,-4.73632884239057e-17,0.379630713091948,-2.64509248006656e-17,0.785901347669443,0,-2.51628748060284e-07,9.11125387858711e-16,3.77017073228913e-16,1.67041319175688e-09,1.71093991617495e-16,9.02149657012683e-17,2.08864037176681e-10,7.95335011881181e-18,0,0
0.95,32.5081998633222,1.42055159495598e-15,1.62596045300041e-16,-2.94625493164081e-05,-1.48492741653735e-17,5.05928651888697e-17,0.379629571955979,-1.95474990542197e-17,0.785961643583162,0,32.5082002306996,5.04514065545406e-16,-3.69334046415702e-16,-2.94649124681071e-05,-2.55118592998223e-16,-6.84831650758731e-17,0.379629571648216,-3.86545295123562e-17,0.785961643583162,0,-3.67377367638255e-07,9.16037529410575e-16,5.31930091715743e-16,2.36315169899702e-09,2.4026931883285e-16,1.19076030264743e-16,3.07763869944466e-10,1.91070304581365e-17,0,0
1,32.5082611813903,1.57748288141316e-15,1.41554879989657e-16,-4.31869128712768e-05,-1.8036939277302e-17,5.94620933188139e-17,0.379627770428443,-2.02949759083859e-17,0.786015882450761,0,32.5082616897962,6.90095934970213e-16,-4.44230732491001e-16,-4.31901132134688e-05,-3.1351439963465e-16,-9.44468912321208e-17,0.379627769983486,-5.39057651840884e-17,0.786015882450761,0,-5.08405967991621e-07,8.87386946442951e-16,5.85785612480657e-16,3.20034219199357e-09,2.95477460357348e-16,1.53908984550935e-16,4.44956571588051e-10,3.36107892757025e-17,0,0
