pointId,pathId,sequenceInPath,modeId,localModeIndex,realPartPerSecond,imagPartRadPerSecond,dampingRatio,frequencyHz,modeName,headingIntegrator,matchingConfidence,matchingStatus
B45_V035,B45_SPEED_PATH,2,204,4,-0.0835719264873784,-0.771942446478788,0.107632936369401,0.12285845613955,dutch-roll-like,0,0.931703156192184,MATCHED
B45_V035,B45_SPEED_PATH,2,206,5,-0.466884312172122,1.09948933963842,0.39085794047273,0.174989163280298,short-period-like,0,0.844962773780412,MATCHED
B45_V035,B45_SPEED_PATH,2,207,6,-0.466884312172122,-1.09948933963842,0.39085794047273,0.174989163280298,short-period-like,0,0.844962773780412,MATCHED
B45_V035,B45_SPEED_PATH,2,205,7,-0.072799223042436,0,1,0,spiral-like,0,0.943510777936446,MATCHED
B45_V035,B45_SPEED_PATH,2,209,8,0.039932434259331,0,-1,0,longitudinal aperiodic,0,0.908089078468418,MATCHED
B45_V035,B45_SPEED_PATH,2,208,9,-0.073606381763301,0,1,0,longitudinal aperiodic,0,0.943230403622659,MATCHED
B45_V035,B45_SPEED_PATH,2,210,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,0.987299626566344,MATCHED
B45_V035,B45_SPEED_PATH,2,211,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,0.987299626566344,MATCHED
B45_V035,B45_SPEED_PATH,2,212,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,0.99804679767514,MATCHED
B45_V035,B45_SPEED_PATH,2,213,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,0.99804679767514,MATCHED
B45_V045,B45_SPEED_PATH,3,201,1,0,0,NaN,0,heading kinematic integrator,1,1,RESERVED_HEADING_INTEGRATOR
B45_V045,B45_SPEED_PATH,3,202,2,-2.23360157285639,0,1,0,roll-like,0,0.899852809468067,MATCHED
B45_V045,B45_SPEED_PATH,3,203,3,-0.0951384892176105,0.964168848805807,0.0981972013619779,0.153452238262666,dutch-roll-like,0,0.930606169437239,MATCHED
B45_V045,B45_SPEED_PATH,3,204,4,-0.0951384892176105,-0.964168848805807,0.0981972013619779,0.153452238262666,dutch-roll-like,0,0.930606169437239,MATCHED
B45_V045,B45_SPEED_PATH,3,205,5,-0.0845647571160807,0,1,0,spiral-like,0,0.980432321734238,MATCHED
B45_V045,B45_SPEED_PATH,3,206,6,-0.590191996323078,1.5238800721962,0.361155314915163,0.24253304616926,short-period-like,0,0.872968604186693,MATCHED
B45_V045,B45_SPEED_PATH,3,207,7,-0.590191996323078,-1.5238800721962,0.361155314915163,0.24253304616926,short-period-like,0,0.872968604186693,MATCHED
B45_V045,B45_SPEED_PATH,3,209,8,-0.0424118788244221,0.0459001313249838,0.678647437354997,0.00730523278893832,long-period-like,0,0.917553999863385,MATCHED
B45_V045,B45_SPEED_PATH,3,208,9,-0.0424118788244221,-0.0459001313249838,0.678647437354997,0.00730523278893832,long-period-like,0,0.925902812952527,MATCHED
B45_V045,B45_SPEED_PATH,3,210,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,0.987028490368967,MATCHED
B45_V045,B45_SPEED_PATH,3,211,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,0.987028490368967,MATCHED
B45_V045,B45_SPEED_PATH,3,212,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,0.977929440748564,MATCHED
B45_V045,B45_SPEED_PATH,3,213,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,0.977929440748564,MATCHED
B75_V080,B75_SPEED_PATH,1,301,1,0,0,NaN,0,heading kinematic integrator,1,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,302,2,-0.545327250073881,1.60140329689517,0.322353151494113,0.254871250584525,dutch-roll-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,303,3,-0.545327250073881,-1.60140329689517,0.322353151494113,0.254871250584525,dutch-roll-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,304,4,-1.67586321484035,0,1,0,roll-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,305,5,-0.0833895826988076,0,1,0,spiral-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,306,6,-1.00563442109611,3.05576637333406,0.312601281226699,0.486340323250109,short-period-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,307,7,-1.00563442109611,-3.05576637333406,0.312601281226699,0.486340323250109,short-period-like,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,308,8,-0.272694649420986,0,1,0,longitudinal aperiodic,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,309,9,-0.077933444245873,0,1,0,longitudinal aperiodic,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,310,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,311,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,312,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,1,PATH_START_UNMATCHED
B75_V080,B75_SPEED_PATH,1,313,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0,1,PATH_START_UNMATCHED
