time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
3.15,33.1321492611331,3.32956749381316,12.984850736386,0.0115525575833415,-0.0380795360032232,-0.00239894479306435,0.111876801824179,0.346620790128388,-0.033181135797763,0.873128453267045,0.872776648961257,-0.00169031472102151,-0.000698033532471279,0.872952551114151,-0.000175902152894147,4019.55416876659,-1081.97329988522,1853.12867093059,0,1,35.7411762957528,0.373513631367927,0.0932930197581965
3.175,33.1505341447792,3.35139213856247,12.9765892483262,0.0100843597739358,-0.0382701172628506,-0.00137963027093625,0.112091663906116,0.345677603221053,-0.0333444985652896,0.873087256892112,0.87276003407519,-0.001603737255798,-0.000633017279615044,0.872923645483651,-0.000163611408461328,4019.38556325912,-1064.2485003411,1871.46196266141,0,1,35.7572595687976,0.373109126650908,0.0938639720063936
3.2,33.1691654005487,3.37189213706184,12.9684108518543,0.00864197175098839,-0.0384481527572534,-0.000350357401777407,0.112279213393446,0.344727002908961,-0.0334815076632267,0.873048257780754,0.872744997637368,-0.00151517661480619,-0.000571782222370743,0.872896627709061,-0.000151630071692943,4018.56911559289,-1047.23418474131,1888.28026696856,0,1,35.7734939581728,0.372704596328497,0.0943968470464601
3.225,33.1880418039221,3.39106483536443,12.9603264172016,0.00722438754045415,-0.0386139375614093,0.00068802049985582,0.112440136064262,0.343769257718095,-0.0335918682750034,0.873011490559696,0.872731444788053,-0.00142574323039357,-0.0005143337317208,0.872871467673874,-0.000140022885821489,4017.1427133621,-1030.9028499477,1903.62003841597,0,1,35.7898798592135,0.372300346107246,0.0948916088531503
3.25,33.207162081545,3.40890805704558,12.9523463600038,0.0058306410843006,-0.0387677702914466,0.0017346711469009,0.112575083735157,0.34280463309942,-0.0336753090667709,0.872976964142584,0.872719281018269,-0.00133639126973903,-0.000460641452799635,0.872848122580426,-0.000128841562157644,4015.14214276257,-1015.22493168359,1917.5167447237,0,1,35.8064176354029,0.371896669927044,0.0953482362295784
3.275,33.2265249089926,3.42542009174303,12.944480641929,0.00445980879598168,-0.0389099527090086,0.00278878274313442,0.112684675578579,0.341833391273528,-0.0337315816411649,0.872944665452653,0.872708412989749,-0.00124793295599902,-0.00041064487144977,0.872826539221201,-0.000118126231452076,4012.60116491681,-1000.16927007627,1930.00482643346,0,1,35.8231076181575,0.371493849989502,0.0957667224750304
3.3,33.2461289087241,3.44059968528516,12.9367387716613,0.00311101149533161,-0.0390407893393105,0.00384956341868001,0.112769499491463,0.340855791083265,-0.0337604600023642,0.872914562797388,0.872698749222742,-0.00116105207971561,-0.000364258335286032,0.872806656010065,-0.000107906787322531,4009.55159421332,-985.703528074042,1941.11766958641,0,1,35.8399501067745,0.371092156794489,0.0961470750947685
3.325,33.2659726482252,3.45444603123382,12.9291298062209,0.00178341578747672,-0.0391605871004367,0.00491624064547539,0.112830113500021,0.339872087854462,-0.0337617400333953,0.872886608915553,0.872690200664903,-0.00107631669566488,-0.0003213755636681,0.872788404790228,-9.82041253250188e-05,4006.02337794211,-971.794565521026,1950.88758991447,0,1,35.8569453685236,0.37069184918448,0.0964893155468938
3.35,33.286054638335,3.4669587636815,12.9216623526104,0.000476234946389201,-0.0392696549417784,0.00598806063962492,0.112867047187199,0.338882533264878,-0.0337352389864048,0.872860743716961,0.8726826811536,-0.000994191008551578,-0.000281873680605484,0.87277171243528,-8.90312816804184e-05,4002.04467658775,-958.40877168459,1959.34582715377,0,1,35.8740936388665,0.370293174396528,0.096793479021712
3.375,33.3063733317535,3.47813795115502,12.914344569779,-0.000811270640259012,-0.0393683034898464,0.00706428775675695,0.112880803130883,0.337887375221441,-0.0336807949864233,0.872836896735165,0.872676107783164,-0.000915046457934963,-0.000245616803985469,0.872756502259164,-8.03944760006114e-05,3997.64194421561,-945.512359017653,1966.52254819589,0,1,35.8913951217891,0.369896368121739,0.0970596142494195
