parameter,factor,actuatorModeRealPerSecond,actuatorModeImagRadPerSecond,actuatorModeDampingRatio,actuatorModeFrequencyHz,dutchModeRealPerSecond,dutchModeImagRadPerSecond,shortPeriodRealPerSecond,shortPeriodImagRadPerSecond,spiralModeRealPerSecond,spectralAbscissaDiagnosticPerSecond,validMaxBetaDiffRad,validPeakRollMomentNm,validPeakYawMomentNm,validPeakAttitudeRad,validRecoveryTimeSeconds,firstEnvelopeViolationTime,forceDerivativeNormNPerRad,momentDerivativeNormNmPerRad,targetLimitActivated,classificationMetric,classificationMetricDefinition,conclusionClass,classificationReason
leftOmegaN,1,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftOmegaN,1.5,-4.80000000000001,3.59999999999944,0.800000000000045,0.572957795130735,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0.00214485070874726,474.880752969821,193.436040560235,0.0127773307129052,NaN,NaN,1879.28663646119,300489.432973884,1,0.00214485070874726,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftZeta,0.5,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0.00284979921154144,548.741770818944,308.677464277021,0.0151937742116135,NaN,NaN,1879.28663646119,300489.432973884,1,0.00284979921154144,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftZeta,1,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftZeta,1.5,-7.45329983228466,0,1,0,-0.0835719264873784,0.771942446478788,-0.466884312172122,1.09948933963842,-0.072799223042436,0.039932434259331,0.00158741754336272,296.657608601025,225.43056084984,0.0138546532485881,NaN,NaN,1879.28663646119,300489.432973884,1,0.00158741754336272,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
rateScale,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
rateScale,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
rateScale,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
accelLim,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.15232243368957e-05,2.67773832162781,1.09746420714594,0.012206811078282,NaN,NaN,1879.28663646119,300489.432973884,1,1.15232243368957e-05,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
accelLim,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
